Nome;Tipo;Nome UTM;Link;Filtros;Texto Legal;;;;;;;;;;;;;;;;;;;;;;;
Ekos_Marca;Marca;ekos;www.natura.com.br/Ekos;;;;;;;;;;;;;;;;;;;;;;;;;
Lumina_Marca;Marca;lumina;www.natura.com.br/Lumina;;;;;;;;;;;;;;;;;;;;;;;;;
Tododia_Marca;Marca;tododia;www.natura.com.br/Tododia;;;;;;;;;;;;;;;;;;;;;;;;;
Chronos_Marca;Marca;chronos;www.natura.com.br/Chronos;;;;;;;;;;;;;;;;;;;;;;;;;
CrerParaVer_Marca;Marca;crerparaver;www.natura.com.br/crer-para-ver;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas_Marca;Marca;aguas;www.natura.com.br/aguas;;;;;;;;;;;;;;;;;;;;;;;;;
Aquarela_Marca;Marca;aquarela;www.natura.com.br/Aquarela;;;;;;;;;;;;;;;;;;;;;;;;;
Biografia_Marca;Marca;biografia;www.natura.com.br/Biografia;;;;;;;;;;;;;;;;;;;;;;;;;
Sintonia_Marca;Marca;sintonia;www.natura.com.br/sintonia;;;;;;;;;;;;;;;;;;;;;;;;;
Erva-Doce_Marca;Marca;ervadoce;www.natura.com.br/Erva-Doce;;;;;;;;;;;;;;;;;;;;;;;;;
Essencial_Marca;Marca;essencial;www.natura.com.br/Essencial;;;;;;;;;;;;;;;;;;;;;;;;;
Faces_Marca;Marca;faces;www.natura.com.br/Faces;;;;;;;;;;;;;;;;;;;;;;;;;
Revelar_Marca;Marca;revelar;www.natura.com.br/revelar;;;;;;;;;;;;;;;;;;;;;;;;;
Fotoequilibrio_Marca;Marca;fotoequilibrio;www.natura.com.br/Fotoequilibrio;;;;;;;;;;;;;;;;;;;;;;;;;
Homem_Marca;Marca;homem;www.natura.com.br/Homem;;;;;;;;;;;;;;;;;;;;;;;;;
Humor_Marca;Marca;humor;www.natura.com.br/Humor;;;;;;;;;;;;;;;;;;;;;;;;;
Ilia_Marca;Marca;ilia;www.natura.com.br/Ilia;;;;;;;;;;;;;;;;;;;;;;;;;
Kaiak_Marca;Marca;kaiak;www.natura.com.br/Kaiak;;;;;;;;;;;;;;;;;;;;;;;;;
Kriska_Marca;Marca;kriska;www.natura.com.br/Kriska;;;;;;;;;;;;;;;;;;;;;;;;;
Luna_Marca;Marca;luna;www.natura.com.br/Luna;;;;;;;;;;;;;;;;;;;;;;;;;
Mamae-e-bebe_Marca;Marca;mamaebebe;www.natura.com.br/Mamae-e-bebe;;;;;;;;;;;;;;;;;;;;;;;;;
Nature_Marca;Marca;nature;www.natura.com.br/nature;;;;;;;;;;;;;;;;;;;;;;;;;
Plant_Marca;Marca;plant;www.natura.com.br/plant;;;;;;;;;;;;;;;;;;;;;;;;;
Seve_Marca;Marca;seve;www.natura.com.br/Seve;;;;;;;;;;;;;;;;;;;;;;;;;
Sou_Marca;Marca;sou;www.natura.com.br/Sou;;;;;;;;;;;;;;;;;;;;;;;;;
Sr-n_Marca;Marca;srn;www.natura.com.br/Sr-n;;;;;;;;;;;;;;;;;;;;;;;;;
Urbano_Marca;Marca;urbano;www.natura.com.br/urbano;;;;;;;;;;;;;;;;;;;;;;;;;
Una_Marca;Marca;una;www.natura.com.br/Una;;;;;;;;;;;;;;;;;;;;;;;;;
Cuidados Diários_Departamento;Departamento;cuidadosdiarios;www.natura.com.br/c/tudo-em-cuidados-diarios;;;;;;;;;;;;;;;;;;;;;;;;;
Perfumaria_Departamento;Departamento;perfumaria;www.natura.com.br/c/tudo-em-perfumaria;;;;;;;;;;;;;;;;;;;;;;;;;
Maquiagem_Departamento;Departamento;maquiagem;www.natura.com.br/c/tudo-em-maquiagem;;;;;;;;;;;;;;;;;;;;;;;;;
Cabelos_Departamento;Departamento;cabelos;www.natura.com.br/c/tudo-em-cabelos;;;;;;;;;;;;;;;;;;;;;;;;;
Barba_Departamento;Departamento;barba;www.natura.com.br/c/tudo-em-barba;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil_Departamento;Departamento;infantil;www.natura.com.br/c/tudo-em-infantil;;;;;;;;;;;;;;;;;;;;;;;;;
Presentes_Departamento;Departamento;presentes;www.natura.com.br/c/tudo-em-presentes;;;;;;;;;;;;;;;;;;;;;;;;;
Promoções_Departamento;Departamento;promocoes;www.natura.com.br/c/tudo-em-promocoes;;;;;;;;;;;;;;;;;;;;;;;;;
